capacity_log2,table_type,load_factor,repetition,phase,num_ops,time_seconds,avg_probes,max_probes
18,linear,0.500000,28,lookup_success,131072,0.000850,1.493111,31
18,linear,0.500000,28,lookup_fail,131072,0.001923,2.483543,35
18,robinhood,0.500000,28,insert,131072,0.001444,1.493111,31
18,robinhood,0.500000,28,lookup_success,131072,0.000987,1.493111,10
18,robinhood,0.500000,28,lookup_fail,131072,0.001451,1.744598,10
18,linear,0.500000,29,insert,131072,0.001257,1.500954,28
18,linear,0.500000,29,lookup_success,131072,0.000922,1.500954,28
18,linear,0.500000,29,lookup_fail,131072,0.002102,2.508514,38
18,robinhood,0.500000,29,insert,131072,0.001424,1.500954,28
18,robinhood,0.500000,29,lookup_success,131072,0.001127,1.500954,10
18,robinhood,0.500000,29,lookup_fail,131072,0.001706,1.750961,11
18,linear,0.500000,30,insert,131072,0.001217,1.507660,33
18,linear,0.500000,30,lookup_success,131072,0.000928,1.507660,33
18,linear,0.500000,30,lookup_fail,131072,0.001973,2.514938,49
18,robinhood,0.500000,30,insert,131072,0.001227,1.507660,33
18,robinhood,0.500000,30,lookup_success,131072,0.001146,1.507660,10
18,robinhood,0.500000,30,lookup_fail,131072,0.001711,1.756500,11
18,linear,0.700000,1,insert,183500,0.002438,2.148485,92
18,linear,0.700000,1,lookup_success,183500,0.002126,2.148485,92
18,linear,0.700000,1,lookup_fail,183500,0.004396,5.970512,113
18,robinhood,0.700000,1,insert,183500,0.002574,2.148485,92
18,robinhood,0.700000,1,lookup_success,183500,0.002726,2.148485,18
18,robinhood,0.700000,1,lookup_fail,183500,0.003155,2.509940,19
18,linear,0.700000,2,insert,183500,0.002641,2.177809,90
18,linear,0.700000,2,lookup_success,183500,0.002161,2.177809,90
18,linear,0.700000,2,lookup_fail,183500,0.004285,6.177918,107
18,robinhood,0.700000,2,insert,183500,0.002776,2.177809,90
18,robinhood,0.700000,2,lookup_success,183500,0.002926,2.177809,16
18,robinhood,0.700000,2,lookup_fail,183500,0.003000,2.527106,17
18,linear,0.700000,3,insert,183500,0.002166,2.144229,92
18,linear,0.700000,3,lookup_success,183500,0.001845,2.144229,92
18,linear,0.700000,3,lookup_fail,183500,0.004030,5.973608,140
18,robinhood,0.700000,3,insert,183500,0.002652,2.144229,92
18,robinhood,0.700000,3,lookup_success,183500,0.002629,2.144229,15
18,robinhood,0.700000,3,lookup_fail,183500,0.002722,2.500229,16
18,linear,0.700000,4,insert,183500,0.002786,2.156447,83
18,linear,0.700000,4,lookup_success,183500,0.002201,2.156447,83
18,linear,0.700000,4,lookup_fail,183500,0.004550,5.992153,86
18,robinhood,0.700000,4,insert,183500,0.002358,2.156447,83
18,robinhood,0.700000,4,lookup_success,183500,0.002550,2.156447,15
18,robinhood,0.700000,4,lookup_fail,183500,0.002656,2.517313,16
18,linear,0.700000,5,insert,183500,0.002477,2.171302,108
18,linear,0.700000,5,lookup_success,183500,0.001979,2.171302,108
18,linear,0.700000,5,lookup_fail,183500,0.004390,6.075101,145
18,robinhood,0.700000,5,insert,183500,0.002374,2.171302,108
18,robinhood,0.700000,5,lookup_success,183500,0.002552,2.171302,17
18,robinhood,0.700000,5,lookup_fail,183500,0.002551,2.515379,17
18,linear,0.700000,6,insert,183500,0.002646,2.162381,97
18,linear,0.700000,6,lookup_success,183500,0.002235,2.162381,97
18,linear,0.700000,6,lookup_fail,183500,0.004719,6.058447,106
18,robinhood,0.700000,6,insert,183500,0.002902,2.162381,97
18,robinhood,0.700000,6,lookup_success,183500,0.002483,2.162381,19
18,robinhood,0.700000,6,lookup_fail,183500,0.002679,2.513515,20
18,linear,0.700000,7,insert,183500,0.002407,2.159319,96
18,linear,0.700000,7,lookup_success,183500,0.001941,2.159319,96
18,linear,0.700000,7,lookup_fail,183500,0.004743,5.980000,113
18,robinhood,0.700000,7,insert,183500,0.002758,2.159319,96
18,robinhood,0.700000,7,lookup_success,183500,0.002723,2.159319,15
18,robinhood,0.700000,7,lookup_fail,183500,0.002973,2.508834,16
18,linear,0.700000,8,insert,183500,0.002387,2.174387,91
18,linear,0.700000,8,lookup_success,183500,0.001916,2.174387,91
18,linear,0.700000,8,lookup_fail,183500,0.006027,6.085837,113
18,robinhood,0.700000,8,insert,183500,0.002978,2.174387,91
18,robinhood,0.700000,8,lookup_success,183500,0.002715,2.174387,21
18,robinhood,0.700000,8,lookup_fail,183500,0.002644,2.521161,21
18,linear,0.700000,9,insert,183500,0.002521,2.184621,78
18,linear,0.700000,9,lookup_success,183500,0.002215,2.184621,78
18,linear,0.700000,9,lookup_fail,183500,0.005223,6.142916,97
18,robinhood,0.700000,9,insert,183500,0.002510,2.184621,78
18,robinhood,0.700000,9,lookup_success,183500,0.002512,2.184621,16
18,robinhood,0.700000,9,lookup_fail,183500,0.003552,2.529166,17
18,linear,0.700000,10,insert,183500,0.002342,2.173940,125
18,linear,0.700000,10,lookup_success,183500,0.002130,2.173940,125
18,linear,0.700000,10,lookup_fail,183500,0.005170,6.094011,139
18,robinhood,0.700000,10,insert,183500,0.002708,2.173940,125
18,robinhood,0.700000,10,lookup_success,183500,0.002755,2.173940,18
18,robinhood,0.700000,10,lookup_fail,183500,0.002667,2.521368,19
18,linear,0.700000,11,insert,183500,0.002423,2.184725,98
18,linear,0.700000,11,lookup_success,183500,0.002281,2.184725,98
18,linear,0.700000,11,lookup_fail,183500,0.004828,6.128605,135
18,robinhood,0.700000,11,insert,183500,0.002706,2.184725,98
18,robinhood,0.700000,11,lookup_success,183500,0.002821,2.184725,20
18,robinhood,0.700000,11,lookup_fail,183500,0.002756,2.522316,20
18,linear,0.700000,12,insert,183500,0.002203,2.172327,70
18,linear,0.700000,12,lookup_success,183500,0.001987,2.172327,70
18,linear,0.700000,12,lookup_fail,183500,0.004135,6.135564,108
18,robinhood,0.700000,12,insert,183500,0.002508,2.172327,70
18,robinhood,0.700000,12,lookup_success,183500,0.003595,2.172327,17
18,robinhood,0.700000,12,lookup_fail,183500,0.003670,2.524932,18
18,linear,0.700000,13,insert,183500,0.002425,2.165962,91
18,linear,0.700000,13,lookup_success,183500,0.002224,2.165962,91
18,linear,0.700000,13,lookup_fail,183500,0.004853,6.070452,120
18,robinhood,0.700000,13,insert,183500,0.002698,2.165962,91
18,robinhood,0.700000,13,lookup_success,183500,0.002574,2.165962,17
18,robinhood,0.700000,13,lookup_fail,183500,0.002648,2.518665,18
18,linear,0.700000,14,insert,183500,0.002198,2.160845,98
18,linear,0.700000,14,lookup_success,183500,0.002114,2.160845,98
18,linear,0.700000,14,lookup_fail,183500,0.004155,6.026490,102
18,robinhood,0.700000,14,insert,183500,0.002787,2.160845,98
18,robinhood,0.700000,14,lookup_success,183500,0.003230,2.160845,16
18,robinhood,0.700000,14,lookup_fail,183500,0.002736,2.512441,16
18,linear,0.700000,15,insert,183500,0.002339,2.170365,86
18,linear,0.700000,15,lookup_success,183500,0.002121,2.170365,86
18,linear,0.700000,15,lookup_fail,183500,0.004540,6.138414,113
18,robinhood,0.700000,15,insert,183500,0.002728,2.170365,86
18,robinhood,0.700000,15,lookup_success,183500,0.002594,2.170365,15
18,robinhood,0.700000,15,lookup_fail,183500,0.002635,2.517787,16
18,linear,0.700000,16,insert,183500,0.002179,2.168011,118
18,linear,0.700000,16,lookup_success,183500,0.002759,2.168011,118
18,linear,0.700000,16,lookup_fail,183500,0.004204,6.121379,130
18,robinhood,0.700000,16,insert,183500,0.002571,2.168011,118
18,robinhood,0.700000,16,lookup_success,183500,0.002551,2.168011,16
18,robinhood,0.700000,16,lookup_fail,183500,0.002864,2.518251,16
18,linear,0.700000,17,insert,183500,0.002910,2.164349,104
18,linear,0.700000,17,lookup_success,183500,0.002066,2.164349,104
18,linear,0.700000,17,lookup_fail,183500,0.004548,6.079025,118
18,robinhood,0.700000,17,insert,183500,0.003003,2.164349,104
18,robinhood,0.700000,17,lookup_success,183500,0.003058,2.164349,17
18,robinhood,0.700000,17,lookup_fail,183500,0.003125,2.518926,18
18,linear,0.700000,18,insert,183500,0.002370,2.164894,83
18,linear,0.700000,18,lookup_success,183500,0.002001,2.164894,83
18,linear,0.700000,18,lookup_fail,183500,0.004895,5.984076,99
18,robinhood,0.700000,18,insert,183500,0.003193,2.164894,83
18,robinhood,0.700000,18,lookup_success,183500,0.002539,2.164894,17
18,robinhood,0.700000,18,lookup_fail,183500,0.002943,2.513422,18
18,linear,0.700000,19,insert,183500,0.002326,2.147041,74
18,linear,0.700000,19,lookup_success,183500,0.002033,2.147041,74
18,linear,0.700000,19,lookup_fail,183500,0.006224,6.021564,100
18,robinhood,0.700000,19,insert,183500,0.003166,2.147041,74
18,robinhood,0.700000,19,lookup_success,183500,0.002969,2.147041,15
18,robinhood,0.700000,19,lookup_fail,183500,0.002653,2.506556,16
18,linear,0.700000,20,insert,183500,0.002389,2.181635,107
18,linear,0.700000,20,lookup_success,183500,0.002279,2.181635,107
18,linear,0.700000,20,lookup_fail,183500,0.004697,6.078294,115
18,robinhood,0.700000,20,insert,183500,0.002771,2.181635,107
18,robinhood,0.700000,20,lookup_success,183500,0.002506,2.181635,16
18,robinhood,0.700000,20,lookup_fail,183500,0.002619,2.528529,17
18,linear,0.700000,21,insert,183500,0.002395,2.163722,101
18,linear,0.700000,21,lookup_success,183500,0.002121,2.163722,101
18,linear,0.700000,21,lookup_fail,183500,0.004917,6.029847,118
18,robinhood,0.700000,21,insert,183500,0.002701,2.163722,101
18,robinhood,0.700000,21,lookup_success,183500,0.002806,2.163722,17
18,robinhood,0.700000,21,lookup_fail,183500,0.003180,2.512403,18
18,linear,0.700000,22,insert,183500,0.002599,2.180104,110
18,linear,0.700000,22,lookup_success,183500,0.002101,2.180104,110
18,linear,0.700000,22,lookup_fail,183500,0.005116,6.078458,131
18,robinhood,0.700000,22,insert,183500,0.002887,2.180104,110
18,robinhood,0.700000,22,lookup_success,183500,0.002651,2.180104,20
18,robinhood,0.700000,22,lookup_fail,183500,0.002742,2.526305,21
18,linear,0.700000,23,insert,183500,0.002535,2.163292,99
18,linear,0.700000,23,lookup_success,183500,0.001859,2.163292,99
18,linear,0.700000,23,lookup_fail,183500,0.004722,6.095695,114
18,robinhood,0.700000,23,insert,183500,0.002687,2.163292,99
18,robinhood,0.700000,23,lookup_success,183500,0.002597,2.163292,17
18,robinhood,0.700000,23,lookup_fail,183500,0.003107,2.517188,17
18,linear,0.700000,24,insert,183500,0.002329,2.164044,84
18,linear,0.700000,24,lookup_success,183500,0.002190,2.164044,84
18,linear,0.700000,24,lookup_fail,183500,0.004467,6.081052,117
18,robinhood,0.700000,24,insert,183500,0.002635,2.164044,84
18,robinhood,0.700000,24,lookup_success,183500,0.002873,2.164044,14
18,robinhood,0.700000,24,lookup_fail,183500,0.002560,2.519580,14
18,linear,0.700000,25,insert,183500,0.002275,2.164556,75
18,linear,0.700000,25,lookup_success,183500,0.002294,2.164556,75
18,linear,0.700000,25,lookup_fail,183500,0.004221,5.989891,106
18,robinhood,0.700000,25,insert,183500,0.002581,2.164556,75
18,robinhood,0.700000,25,lookup_success,183500,0.003598,2.164556,19
18,robinhood,0.700000,25,lookup_fail,183500,0.003740,2.506425,20
18,linear,0.700000,26,insert,183500,0.002582,2.174839,82
18,linear,0.700000,26,lookup_success,183500,0.001959,2.174839,82
18,linear,0.700000,26,lookup_fail,183500,0.004379,6.076583,108
18,robinhood,0.700000,26,insert,183500,0.003056,2.174839,82
18,robinhood,0.700000,26,lookup_success,183500,0.003244,2.174839,16
18,robinhood,0.700000,26,lookup_fail,183500,0.002877,2.523918,17
18,linear,0.700000,27,insert,183500,0.002538,2.180850,125
18,linear,0.700000,27,lookup_success,183500,0.002202,2.180850,125
18,linear,0.700000,27,lookup_fail,183500,0.005654,6.157428,168
18,robinhood,0.700000,27,insert,183500,0.002754,2.180850,125
18,robinhood,0.700000,27,lookup_success,183500,0.002536,2.180850,17
18,robinhood,0.700000,27,lookup_fail,183500,0.003333,2.526469,18
18,linear,0.700000,28,insert,183500,0.002552,2.157144,73
18,linear,0.700000,28,lookup_success,183500,0.001867,2.157144,73
18,linear,0.700000,28,lookup_fail,183500,0.004311,5.979330,115
18,robinhood,0.700000,28,insert,183500,0.002643,2.157144,73
18,robinhood,0.700000,28,lookup_success,183500,0.003026,2.157144,15
18,robinhood,0.700000,28,lookup_fail,183500,0.003262,2.509602,16
18,linear,0.700000,29,insert,183500,0.002126,2.145450,79
18,linear,0.700000,29,lookup_success,183500,0.001985,2.145450,79
18,linear,0.700000,29,lookup_fail,183500,0.004101,5.880458,90
18,robinhood,0.700000,29,insert,183500,0.002880,2.145450,79
18,robinhood,0.700000,29,lookup_success,183500,0.002930,2.145450,17
18,robinhood,0.700000,29,lookup_fail,183500,0.002728,2.496649,17
18,linear,0.700000,30,insert,183500,0.002433,2.170932,91
18,linear,0.700000,30,lookup_success,183500,0.002025,2.170932,91
18,linear,0.700000,30,lookup_fail,183500,0.004303,6.104877,123
18,robinhood,0.700000,30,insert,183500,0.003867,2.170932,91
18,robinhood,0.700000,30,lookup_success,183500,0.002402,2.170932,17
18,robinhood,0.700000,30,lookup_fail,183500,0.002874,2.513035,18
18,linear,0.800000,1,insert,209715,0.003000,3.011654,186
18,linear,0.800000,1,lookup_success,209715,0.002922,3.011654,186
18,linear,0.800000,1,lookup_fail,209715,0.006882,13.071979,223
18,robinhood,0.800000,1,insert,209715,0.003882,3.011654,186
18,robinhood,0.800000,1,lookup_success,209715,0.003883,3.011654,21
18,robinhood,0.800000,1,lookup_fail,209715,0.003945,3.403700,22
18,linear,0.800000,2,insert,209715,0.003330,2.993620,235
18,linear,0.800000,2,lookup_success,209715,0.002692,2.993620,235
18,linear,0.800000,2,lookup_fail,209715,0.006322,13.001912,267
18,robinhood,0.800000,2,insert,209715,0.003918,2.993620,235
18,robinhood,0.800000,2,lookup_success,209715,0.004010,2.993620,26
18,robinhood,0.800000,2,lookup_fail,209715,0.004341,3.390716,26
18,linear,0.800000,3,insert,209715,0.003162,2.985647,219
18,linear,0.800000,3,lookup_success,209715,0.003073,2.985647,219
18,linear,0.800000,3,lookup_fail,209715,0.005906,12.920015,244
18,robinhood,0.800000,3,insert,209715,0.003859,2.985647,219
18,robinhood,0.800000,3,lookup_success,209715,0.004051,2.985647,25
18,robinhood,0.800000,3,lookup_fail,209715,0.003691,3.390702,26
18,linear,0.800000,4,insert,209715,0.003044,2.994268,173
18,linear,0.800000,4,lookup_success,209715,0.002932,2.994268,173
18,linear,0.800000,4,lookup_fail,209715,0.006191,12.837885,213
18,robinhood,0.800000,4,insert,209715,0.003753,2.994268,173
18,robinhood,0.800000,4,lookup_success,209715,0.004433,2.994268,22
18,robinhood,0.800000,4,lookup_fail,209715,0.004070,3.403572,23
18,linear,0.800000,5,insert,209715,0.003097,2.970579,198
18,linear,0.800000,5,lookup_success,209715,0.002739,2.970579,198
18,linear,0.800000,5,lookup_fail,209715,0.006109,12.997663,220
18,robinhood,0.800000,5,insert,209715,0.004028,2.970579,198
18,robinhood,0.800000,5,lookup_success,209715,0.003986,2.970579,26
18,robinhood,0.800000,5,lookup_fail,209715,0.004051,3.380216,27
18,linear,0.800000,6,insert,209715,0.003001,2.983797,207
18,linear,0.800000,6,lookup_success,209715,0.002923,2.983797,207
18,linear,0.800000,6,lookup_fail,209715,0.007678,12.945617,255
18,robinhood,0.800000,6,insert,209715,0.004099,2.983797,207
18,robinhood,0.800000,6,lookup_success,209715,0.004303,2.983797,20
18,robinhood,0.800000,6,lookup_fail,209715,0.003932,3.386162,21
18,linear,0.800000,7,insert,209715,0.003361,2.995818,210
18,linear,0.800000,7,lookup_success,209715,0.002491,2.995818,210
18,linear,0.800000,7,lookup_fail,209715,0.007407,12.743075,230
18,robinhood,0.800000,7,insert,209715,0.003682,2.995818,210
18,robinhood,0.800000,7,lookup_success,209715,0.003829,2.995818,23
18,robinhood,0.800000,7,lookup_fail,209715,0.003532,3.394116,24
18,linear,0.800000,8,insert,209715,0.003487,3.015111,163
18,linear,0.800000,8,lookup_success,209715,0.002821,3.015111,163
18,linear,0.800000,8,lookup_fail,209715,0.006128,13.046954,193
18,robinhood,0.800000,8,insert,209715,0.003610,3.015111,163
18,robinhood,0.800000,8,lookup_success,209715,0.004624,3.015111,23
18,robinhood,0.800000,8,lookup_fail,209715,0.003885,3.411325,24
18,linear,0.800000,9,insert,209715,0.003174,2.960804,268
18,linear,0.800000,9,lookup_success,209715,0.002680,2.960804,268
18,linear,0.800000,9,lookup_fail,209715,0.006054,12.879432,293
18,robinhood,0.800000,9,insert,209715,0.003756,2.960804,268
18,robinhood,0.800000,9,lookup_success,209715,0.003591,2.960804,23
18,robinhood,0.800000,9,lookup_fail,209715,0.005417,3.370136,24
18,linear,0.800000,10,insert,209715,0.003275,3.024529,254
18,linear,0.800000,10,lookup_success,209715,0.002919,3.024529,254
